INVENTORYKEY,DBI_HOST,DBI_KEY,ORA_SID,ORA_HOME,AUTO_START,HOME_EXIST,HOME_ACTIVE,HOME_TYPE,SID_STATUS,DB_STATUS,SQLPLUS_VERSION,DB_RELEASE,OPATCH_VERSION,PATCH_HISTORY,PATCH_DATE,LISTENER_DATA,OS_USER,PRIMARY_GROUP,TOTAL_GB,USED_GB,FREE_GB,USED_PCT,FREE_PCT,OS_NAME,OS_KERNEL,OS_SHELL,SERVER_CPU,SERVER_RAM,JCHEM_STATUS,ORAINV,ROWSTART,INSTANCE_NAME,HOST_NAME,VERSION,STARTUP_TIME,STATUS,LOGINS,DATABASE_STATUS,INSTANCE_ROLE,DBID,NAME,CREATED,RESETLOGS_TIME,LOG_MODE,OPEN_MODE,PROTECTION_MODE,PROTECTION_LEVEL,DATABASE_ROLE,FORCE_LOGGING,PLATFORM_ID,PLATFORM_NAME,FLASHBACK_ON,DB_UNIQUE_NAME,IS_DG,DG_TNS,IS_RAC,RAC_NODE,WALLET_LOCATION,WALLET_STATUS,WALLET_TYPE,TDE_TBSCOUNT,OFFLINE_DATAFILE,OFFLINE_TEMPFILE,NEED_RECOVERY,IS_PDB,PDB_LIST,PGA_LIMIT,PGA_TARGET,SGA_TARGET,SGA_MAX,MEMORY_MAX,MEMORY_TARGET,CPUCOUNT,ALLOC_PGA_MB,TOTAL_SGA_MB,TOTALSIZE,DATAFILESIZE,TEMPFILESIZE,SEGMENTSIZE,ROWEND
INVKEY20230715135348,nrusca-sld4229,CACPOC1D@nrusca-sld4229,CACPOC1D,/u01/app/oracle/product/19.3.0/DB_1,Y,YES,check_is_disable,OH,UP,OPEN,19.0.0.0.0,19c,12.2.0.1.36,"29585399;OCW-RELEASE-UPDATE,34765931;DATABASE-RELEASE-UPDATE,34777391;JDK-BUNDLE-PATCH,34786990;OJVM-RELEASE-UPDATE","29585399:Apr 18 03:21:33 EDT 2019,34765931:Jun 23 13:52:47 EDT 2023,34777391:Jun 23 13:58:42 EDT 2023,34786990:Jun 23 14:00:19 EDT 2023",LISTENER:/u01/app/oracle/local,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,CACPOC1D,nrusca-sld4229,19.18.0.0.0,13-JUL-2023 02:35:24,OPEN,ALLOWED,ACTIVE,PRIMARY_INSTANCE,1796082681,CACPOC1D,11-AUG-2021 10:31:21,17-JAN-2023 05:34:52,ARCHIVELOG,READ WRITE,MAXIMUM PERFORMANCE,MAXIMUM PERFORMANCE,PRIMARY,NO,13,Linux x86 64-bit,NO,CACPOC1D,NO,None,NO,None,/u01/app/oracle/admin/CACPOC1D/wallet/tde/,OPEN,AUTOLOGIN,0,NO,NO,NO,YES,"CAPPOC1D:READ WRITE,PDB$SEED:READ ONLY",3145728000,817889280,5251268608,5251268608,0,0,4,528.46,5008,28.11,25.7,1.43,2.9,ROWED
INVKEY20230715135348,nrusca-sld4229,CACPOC18@nrusca-sld4229,CACPOC18,/u01/app/oracle/product/18.3.0/DB_1,N,YES,check_is_disable,OH,DOWN,unknown,18.0.0.0.0,18c,12.2.0.1.14,OPatch failed with error code 2,OPatch failed with error code 2,nolistener,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,CACPOC12@nrusca-sld4229,CACPOC12,/u01/app/oracle/product/12.2.0.1/DB_1,Y,YES,check_is_disable,OH,DOWN,unknown,12.2.0.1.0,12cR2,12.2.0.1.6,OPatch failed with error code 2,OPatch failed with error code 2,nolistener,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,CACPOC19@nrusca-sld4229,CACPOC19,/u01/app/oracle/product/19.3.0/DB_1,Y,YES,check_is_disable,OH,DOWN,unknown,19.0.0.0.0,19c,12.2.0.1.36,"29585399;OCW-RELEASE-UPDATE,34765931;DATABASE-RELEASE-UPDATE,34777391;JDK-BUNDLE-PATCH,34786990;OJVM-RELEASE-UPDATE","29585399:Apr 18 03:21:33 EDT 2019,34765931:Jun 23 13:52:47 EDT 2023,34777391:Jun 23 13:58:42 EDT 2023,34786990:Jun 23 14:00:19 EDT 2023",LISTENER:/u01/app/oracle/local,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,BSCPOC19@nrusca-sld4229,BSCPOC19,/u01/app/oracle/product/19.3.0/DB_1,Y,YES,check_is_disable,OH,DOWN,unknown,19.0.0.0.0,19c,12.2.0.1.36,"29585399;OCW-RELEASE-UPDATE,34765931;DATABASE-RELEASE-UPDATE,34777391;JDK-BUNDLE-PATCH,34786990;OJVM-RELEASE-UPDATE","29585399:Apr 18 03:21:33 EDT 2019,34765931:Jun 23 13:52:47 EDT 2023,34777391:Jun 23 13:58:42 EDT 2023,34786990:Jun 23 14:00:19 EDT 2023",LISTENER:/u01/app/oracle/local,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,TEST19@nrusca-sld4229,TEST19,/u01/app/oracle/product/19.3.0/DB_1,N,YES,check_is_disable,OH,DOWN,unknown,19.0.0.0.0,19c,12.2.0.1.36,"29585399;OCW-RELEASE-UPDATE,34765931;DATABASE-RELEASE-UPDATE,34777391;JDK-BUNDLE-PATCH,34786990;OJVM-RELEASE-UPDATE","29585399:Apr 18 03:21:33 EDT 2019,34765931:Jun 23 13:52:47 EDT 2023,34777391:Jun 23 13:58:42 EDT 2023,34786990:Jun 23 14:00:19 EDT 2023",LISTENER:/u01/app/oracle/local,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,CACPOC121@nrusca-sld4229,CACPOC121,/u01/app/oracle/product/12.1.0.2/DB_1,N,YES,check_is_disable,OH,DOWN,unknown,12.1.0.2.0,12cR1,12.2.0.1.36,"34677720;Database-Patch-Set,34763317;Database-PSU-12.1.0.2.230117,Oracle,34777353;JDK-BUNDLE-PATCH","34677720:Jun 23 13:26:08 EDT 2023,34763317:Jun 23 13:28:28 EDT 2023,34777353:Jun 23 13:28:03 EDT 2023",nolistener,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,LNXDB18C@nrusca-sld4229,LNXDB18C,/u01/app/oracle/product/18.3.0/DB_1,Y,YES,check_is_disable,OH,DOWN,unknown,18.0.0.0.0,18c,12.2.0.1.14,OPatch failed with error code 2,OPatch failed with error code 2,nolistener,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,LNXDB12C@nrusca-sld4229,LNXDB12C,/u01/app/oracle/product/12.1.0.2/DB_1,Y,YES,check_is_disable,OH,DOWN,unknown,12.1.0.2.0,12cR1,12.2.0.1.36,"34677720;Database-Patch-Set,34763317;Database-PSU-12.1.0.2.230117,Oracle,34777353;JDK-BUNDLE-PATCH","34677720:Jun 23 13:26:08 EDT 2023,34763317:Jun 23 13:28:28 EDT 2023,34777353:Jun 23 13:28:03 EDT 2023",nolistener,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
INVKEY20230715135348,nrusca-sld4229,agent13c1@nrusca-sld4229,agent13c1,/u01/app/oracle/product/agent_chbs/agent_13.3.0.0.0,N,YES,check_is_disable,OA,UP,unknown,13.3.0.0.0,unknown,13.8.0.0.0,OPatch failed with error code 2,OPatch failed with error code 2,nolistener,oracle,dba,148G,81G,61G,58,42,Linux,3.10.0-1160.92.1.el7.x86_64,"GNU bash, version 4.2.46(2)-release (x86_64-redhat-linux-gnu)",4,31993.6 MB,DOWN,/u01/app/oraInventory,ROWST,unknown,unknown,0.0.0.0.0,unknown,unknown,unknown,unknown,unknown,0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,ROWED
